Date,Open,High,Low,Close,Adj_Close,Volume
Apr 20 1982,115.8,117.14,114.83,115.44,115.44,54610000
Apr 21 1982,115.48,115.87,115.3,115.72,115.72,57820000
Apr 22 1982,115.72,117.25,115.72,117.19,117.19,64470000
Apr 23 1982,118.02,118.64,117.19,118.64,118.64,71840000
Apr 26 1982,118.94,119.33,118.25,119.26,119.26,60500000
Apr 27 1982,119.07,119.26,117.73,118,118,56480000
Apr 28 1982,117.83,118.05,116.94,117.26,117.26,50530000
Apr 29 1982,116.4,117.24,116.11,116.14,116.14,51330000
Apr 30 1982,116.21,116.78,116.07,116.44,116.44,48200000
May 03 1982,115.96,116.82,115.91,116.82,116.82,46490000
May 04 1982,117.41,117.64,116.85,117.46,117.46,58720000
May 05 1982,117.85,118.05,117.31,117.67,117.67,58860000
May 06 1982,118.82,118.83,117.68,118.68,118.68,67540000
May 07 1982,119.08,119.89,118.71,119.47,119.47,67130000
May 10 1982,119.08,119.49,118.37,118.38,118.38,46300000
May 11 1982,118.54,119.59,118.32,119.42,119.42,54680000
May 12 1982,119.89,119.92,118.76,119.17,119.17,59210000
May 13 1982,119.08,119.2,118.13,118.22,118.22,58230000
May 14 1982,118.2,118.4,118.01,118.01,118.01,49900000
May 17 1982,117.62,118.02,116.66,116.71,116.71,45600000
May 18 1982,116.35,116.7,115.71,115.84,115.84,48970000
May 19 1982,115.61,115.96,114.82,114.89,114.89,48840000
May 20 1982,114.85,115.07,114.37,114.59,114.59,48330000
May 21 1982,115.03,115.13,114.6,114.89,114.89,45260000
May 24 1982,114.46,114.86,114.24,114.79,114.79,38510000
May 25 1982,115.5,115.51,114.4,114.4,114.4,44010000
May 26 1982,113.68,114.4,112.88,113.11,113.11,51250000
May 27 1982,113.11,113.12,112.58,112.66,112.66,44730000
May 28 1982,112.79,112.8,111.66,111.88,111.88,43900000
Jun 01 1982,111.97,112.07,111.66,111.68,111.68,41650000
Jun 02 1982,111.74,112.19,111.55,112.04,112.04,49220000
Jun 03 1982,112.04,112.48,111.45,111.86,111.86,48450000
Jun 04 1982,111.66,111.85,110.02,110.09,110.09,44110000
Jun 07 1982,109.59,110.59,109.42,110.12,110.12,44630000
Jun 08 1982,110.33,110.33,109.6,109.63,109.63,46820000
Jun 09 1982,109.46,109.63,108.53,108.99,108.99,55770000
Jun 10 1982,109.35,109.7,108.96,109.61,109.61,50950000
Jun 11 1982,111.11,111.48,109.65,111.24,111.24,68610000
Jun 14 1982,110.5,111.22,109.9,109.96,109.96,40100000
Jun 15 1982,109.63,109.96,108.98,109.69,109.69,44970000
Jun 16 1982,110.1,110.13,108.82,108.87,108.87,56280000
Jun 17 1982,108.01,108.85,107.48,107.6,107.6,49230000
Jun 18 1982,107.6,107.6,107.07,107.28,107.28,53800000
Jun 21 1982,107.28,107.88,107.01,107.2,107.2,50370000
Jun 22 1982,107.25,108.3,107.17,108.3,108.3,55290000
Jun 23 1982,108.59,110.14,108.09,110.14,110.14,62710000
Jun 24 1982,110.25,110.92,109.79,109.83,109.83,55860000
Jun 25 1982,109.56,109.83,109.09,109.14,109.14,38740000
Jun 28 1982,109.3,110.45,109.17,110.26,110.26,40700000
Jun 29 1982,110.26,110.57,109.68,110.21,110.21,46990000
Jun 30 1982,110.95,111,109.5,109.61,109.61,65280000
Jul 01 1982,109.52,109.63,108.62,108.71,108.71,47900000
Jul 02 1982,108.1,108.71,107.6,107.65,107.65,43760000
Jul 06 1982,107.27,107.67,106.74,107.29,107.29,44350000
Jul 07 1982,107.08,107.61,106.99,107.22,107.22,46920000
Jul 08 1982,106.85,107.53,105.57,107.53,107.53,63270000
Jul 09 1982,108.23,108.97,107.56,108.83,108.83,65870000
Jul 12 1982,109.48,109.62,108.89,109.57,109.57,74690000
